,0,1,2,3,4,5
91,"Game 1 Sat, April 16 Utah Jazz 99@ Dallas Mavericks 93 Game 2 Mon, April 18 Utah Jazz 104@ Dallas Mavericks 110 Game 3 Thu, April 21 Dallas Mavericks 126@ Utah Jazz 118 Game 4 Sat, April 23 Dallas Mavericks 99@ Utah Jazz 100 Game 5 Mon, April 25 Utah Jazz 77@ Dallas Mavericks 102 Game 6 Thu, April 28 Dallas Mavericks 98@ Utah Jazz 96","Game 1 Sat, April 16 Utah Jazz 99@ Dallas Mavericks 93 Game 2 Mon, April 18 Utah Jazz 104@ Dallas Mavericks 110 Game 3 Thu, April 21 Dallas Mavericks 126@ Utah Jazz 118 Game 4 Sat, April 23 Dallas Mavericks 99@ Utah Jazz 100 Game 5 Mon, April 25 Utah Jazz 77@ Dallas Mavericks 102 Game 6 Thu, April 28 Dallas Mavericks 98@ Utah Jazz 96","Game 1 Sat, April 16 Utah Jazz 99@ Dallas Mavericks 93 Game 2 Mon, April 18 Utah Jazz 104@ Dallas Mavericks 110 Game 3 Thu, April 21 Dallas Mavericks 126@ Utah Jazz 118 Game 4 Sat, April 23 Dallas Mavericks 99@ Utah Jazz 100 Game 5 Mon, April 25 Utah Jazz 77@ Dallas Mavericks 102 Game 6 Thu, April 28 Dallas Mavericks 98@ Utah Jazz 96",,,
92,Game 1,"Sat, April 16",Utah Jazz,99.0,@ Dallas Mavericks,93.0
93,Game 2,"Mon, April 18",Utah Jazz,104.0,@ Dallas Mavericks,110.0
94,Game 3,"Thu, April 21",Dallas Mavericks,126.0,@ Utah Jazz,118.0
95,Game 4,"Sat, April 23",Dallas Mavericks,99.0,@ Utah Jazz,100.0
96,Game 5,"Mon, April 25",Utah Jazz,77.0,@ Dallas Mavericks,102.0
97,Game 6,"Thu, April 28",Dallas Mavericks,98.0,@ Utah Jazz,96.0
98,Western Conference First Round,Golden State Warriors over Denver Nuggets  (4-1),Series Stats,,,
99,"Game 1 Sat, April 16 Denver Nuggets 107@ Golden State Warriors 123 Game 2 Mon, April 18 Denver Nuggets 106@ Golden State Warriors 126 Game 3 Thu, April 21 Golden State Warriors 118@ Denver Nuggets 113 Game 4 Sun, April 24 Golden State Warriors 121@ Denver Nuggets 126 Game 5 Wed, April 27 Denver Nuggets 98@ Golden State Warriors 102","Game 1 Sat, April 16 Denver Nuggets 107@ Golden State Warriors 123 Game 2 Mon, April 18 Denver Nuggets 106@ Golden State Warriors 126 Game 3 Thu, April 21 Golden State Warriors 118@ Denver Nuggets 113 Game 4 Sun, April 24 Golden State Warriors 121@ Denver Nuggets 126 Game 5 Wed, April 27 Denver Nuggets 98@ Golden State Warriors 102","Game 1 Sat, April 16 Denver Nuggets 107@ Golden State Warriors 123 Game 2 Mon, April 18 Denver Nuggets 106@ Golden State Warriors 126 Game 3 Thu, April 21 Golden State Warriors 118@ Denver Nuggets 113 Game 4 Sun, April 24 Golden State Warriors 121@ Denver Nuggets 126 Game 5 Wed, April 27 Denver Nuggets 98@ Golden State Warriors 102",,,
100,Game 1,"Sat, April 16",Denver Nuggets,107.0,@ Golden State Warriors,123.0
101,Game 2,"Mon, April 18",Denver Nuggets,106.0,@ Golden State Warriors,126.0
102,Game 3,"Thu, April 21",Golden State Warriors,118.0,@ Denver Nuggets,113.0
103,Game 4,"Sun, April 24",Golden State Warriors,121.0,@ Denver Nuggets,126.0
104,Game 5,"Wed, April 27",Denver Nuggets,98.0,@ Golden State Warriors,102.0
105,Western Conference First Round,Memphis Grizzlies over Minnesota Timberwolves  (4-2),Series Stats,,,
